"timestamp";"Vin";"Iin";"W"
"2026-03-13 12:19:46";"218.98";"2.486";"558.6"
"2026-03-13 12:19:46";"227.35";"2.577";"562.74"
"2026-03-13 12:19:47";"238.54";"2.566";"536.58"
"2026-03-13 12:19:47";"230.33";"2.419";"552.86"
"2026-03-13 12:19:48";"225.43";"2.591";"546.89"
"2026-03-13 12:19:48";"225.48";"2.449";"540.22"
"2026-03-13 12:19:49";"237.03";"2.424";"539.64"
"2026-03-13 12:19:49";"232.61";"2.407";"553.26"
"2026-03-13 12:19:50";"236.83";"2.557";"551.06"
"2026-03-13 12:19:50";"238.46";"2.466";"534.65"
